"","SSP.min.corToCMS1","SSP.min.corToCMS2","SSP.min.corToCMS3","SSP.min.corToCMS4","SSP.median.corToCMS1","SSP.median.corToCMS2","SSP.median.corToCMS3","SSP.median.corToCMS4","SSP.max.corToCMS1","SSP.max.corToCMS2","SSP.max.corToCMS3","SSP.max.corToCMS4","SSP.nearestCMS","SSP.predictedCMS"
"GSM972030_280705-08.CEL.gz",0.150573627753733,-0.392839904119016,-0.096757739296819,0.245438774396323,0.231993678581508,-0.367431713569271,-0.0755174867665722,0.272228644330739,0.289926077447734,-0.316482601510398,-0.0643903610067866,0.360183025844339,"CMS4","CMS4"
"GSM972031_SOG_010753_U133_2.CEL.gz",-0.292476884307329,0.22690486840075,-0.347747825544398,0.0757939896227636,-0.222127805282159,0.256832028668449,-0.320877859116057,0.0990686881672357,-0.19296493149235,0.308722896832847,-0.299502915416491,0.139639005731561,"CMS2","CMS2"
"GSM972032_SOG_011853_U133_2.CEL.gz",-0.243213550268106,0.256505428277445,-0.137413696631691,-0.0988521515920042,-0.209753652917286,0.286588968270952,-0.128483442624023,-0.0836872369324795,-0.185722788522032,0.306615854457485,-0.086320096515831,-0.0655641140985513,"CMS2","CMS2"
"GSM972033_SOG_031197_U133_2.CEL.gz",-0.203825053212297,0.303773798803412,0.0435016252966787,-0.38179137139917,-0.186741771688875,0.339702745857074,0.0765911436647266,-0.367613847233693,-0.100494570906987,0.369615830268458,0.153953528431929,-0.301457667572018,"CMS2","CMS2"
"GSM972034_SOG_031373_U133_2.CEL.gz",-0.105421130538033,0.219682593281164,0.108526776851843,-0.42483330853281,-0.093016551110177,0.264660162857847,0.139281050311529,-0.38731742003167,0.00112179630717278,0.29823599843033,0.216822577593114,-0.345204564970433,"CMS2","CMS2"
"GSM972035_SOG_031424_U133_2.CEL.gz",-0.227045380647438,0.384285330700289,-0.0755790632637255,-0.420664068102618,-0.181090799417596,0.490420488259739,-0.0651364004050902,-0.412323237597455,-0.126620369848415,0.504936784313708,0.0137786961235208,-0.344010567133454,"CMS2","CMS2"
"GSM972036_SOG_034165_U133_2.CEL.gz",-0.0591565153333454,0.0496635576722134,0.17806910639103,-0.27336904800782,-0.00315272974125646,0.0746790001346612,0.205851390622188,-0.235189676276689,0.0428050178943853,0.0947624419797975,0.273801330452416,-0.212277478052457,"CMS3","CMS3"
"GSM972037_SOG_0463_U133_2.CEL.gz",0.0772425558120189,-0.00207096654222017,0.289962834472154,-0.512248231740165,0.128807380723912,0.0547440025495764,0.327454122415173,-0.435887919001237,0.214469185715812,0.107204191739493,0.406631784803638,-0.407422139255015,"CMS3","CMS3"
"GSM972038_SOG_0464_U133_2.CEL.gz",-0.163322221880188,0.274622101364325,-0.226887544677332,-0.200266383732133,-0.151500942151905,0.355301868091211,-0.212669728924195,-0.187660295242894,-0.103069617817388,0.386620488902263,-0.143927330435509,-0.12351531199039,"CMS2","CMS2"
"GSM972039_SOG_10228_U133_2.CEL.gz",-0.0131969045302911,-0.358531730649612,-0.504431973858097,0.595260561088215,0.0749396306334168,-0.296381629585856,-0.448324736057624,0.636370491143949,0.18965705292233,-0.242126977520842,-0.400658460144212,0.686704401509165,"CMS4","CMS4"
"GSM972040_SOG_10411_U133_2.CEL.gz",-0.190980284213162,0.244034597638307,-0.149296820757237,-0.185282525191806,-0.147822715833522,0.304792207322297,-0.0992363119290611,-0.179909841313569,-0.118908417776766,0.328498335555938,-0.0607898926271611,-0.134363607679168,"CMS2","CMS2"
"GSM972041_SOG_10602_U133_2.CEL.gz",-0.214076730232666,0.218994510046028,-0.320283503005558,0.0194482684300436,-0.171792477208432,0.248470132068459,-0.271070448617876,0.0290641188617682,-0.135584294745294,0.277905445842835,-0.242360286672898,0.0827338311360015,"CMS2","CMS2"
"GSM972042_SOG_10937_U133_2.CEL.gz",-0.00317912369142638,0.0286611923247766,0.321592913074019,-0.483413748614572,0.0485565850785715,0.064615878175019,0.387921160940026,-0.423892393492967,0.124410470259592,0.127708568771204,0.458704388580993,-0.383841866606826,"CMS3","CMS3"
"GSM972043_SOG_11060_U133_2.CEL.gz",-0.2270326480483,0.294337030512396,-0.101769826632724,-0.205591989916519,-0.196454689628002,0.328713259497502,-0.0946611593281902,-0.194831960155826,-0.125820048009476,0.358259382608064,-0.0560984685555585,-0.148353478935191,"CMS2","CMS2"
"GSM972044_SOG_11196_U133_2.CEL.gz",0.12197667307991,-0.0665700746620277,0.379938399001331,-0.536977821863884,0.196006793446093,-0.0453838507584311,0.467596236485131,-0.467181698288004,0.229024493225988,0.0654741607901405,0.530201243171225,-0.4348486871994,"CMS3","CMS3"
"GSM972045_SOG_11538_U133_2.CEL.gz",0.0494340879088043,-0.0158832830938016,0.251291024390406,-0.424586312472531,0.101962435224398,0.0189502714274734,0.313121600828654,-0.361610853143271,0.156840486477596,0.0687500871931,0.390230228264268,-0.328019315124579,"CMS3","CMS3"
"GSM972046_SOG_12126_U133_2.CEL.gz",-0.105041046916478,-0.0225914145990266,-0.329179483188543,0.24742799546244,-0.0656988588481609,-0.0120929956891593,-0.266537404336256,0.258292753204876,-0.0156674359454692,0.0106632742987849,-0.202472445588355,0.282765868130522,"CMS4","CMS4"
"GSM972047_SOG_12266_U133_2.CEL.gz",-0.062657582608808,0.0598133527083395,-0.21442759969939,0.0540307025818574,-0.0404239254679854,0.0878143963927664,-0.19397900219383,0.0720860029299084,-0.0280350280032545,0.0935129090170941,-0.173811095852955,0.114859513100078,"CMS2",NA
"GSM972048_SOG_1411_U133_2.CEL.gz",-0.124750849007919,0.213550497570861,-0.108138327073044,-0.205392306423002,-0.11307656625161,0.233769988207922,-0.0712634262365684,-0.179072238866791,-0.0489160687577644,0.26366275724798,-0.0214147234923087,-0.153217118172195,"CMS2","CMS2"
"GSM972049_SOG_1415_U133_2.CEL.gz",0.180746847074215,-0.161324697655716,0.345726179086739,-0.457662210424959,0.251355749441261,-0.134134828393806,0.449914430113338,-0.395238578209083,0.279272044835479,-0.0646794630667063,0.502787567338494,-0.319656718830969,"CMS3","CMS3"
"GSM972050_SOG_1421b_U133_2.CEL.gz",-0.0772823315004999,-0.0359646347995204,0.332971462605933,-0.306598668459741,-0.0250235846388184,-0.0176591586152458,0.456717167725005,-0.232905588990593,0.0130418917955762,0.0206607113754772,0.46338162210498,-0.198799533435234,"CMS3","CMS3"
"GSM972051_SOG_14604_U133_2.CEL.gz",-0.0881879397944159,-0.199652408049045,-0.51292474187605,0.513145529446116,-0.0056546204680423,-0.150260562670851,-0.479434465642757,0.523780130429131,0.0972468180092093,-0.101969990917253,-0.414481253183396,0.560797579043174,"CMS4","CMS4"
"GSM972052_SOG_34_U133_2.CEL.gz",-0.0867924862477694,0.102123797936635,-0.130121967145225,-0.0658056338500756,-0.0476580131165439,0.11521452319003,-0.0884445061872215,-0.0495249606215014,-0.0248695073881202,0.139785251524535,-0.0481678716905352,-0.0323296820413231,"CMS2",NA
"GSM972053_SOG_46_U133_2.CEL.gz",-0.0939036378271784,0.229795863958282,-0.211056756599641,-0.242651090882442,-0.0600726038155168,0.33000389757967,-0.187687558727502,-0.216926662597876,-0.0171300639625756,0.339192518064542,-0.122468176238073,-0.186347122092029,"CMS2","CMS2"
"GSM972054_SOG_535_U133_2.CEL.gz",-0.0155235167699586,-0.2574770156526,-0.318493231784202,0.38397158415741,0.0637642096252275,-0.211828452442797,-0.28448751375235,0.408724309041276,0.115201101571113,-0.164751827685788,-0.232762722804756,0.459772559856967,"CMS4","CMS4"
"GSM972055_SOG_701_U133_2.CEL.gz",0.0599678279715035,-0.131526377764336,-0.0421127198264704,0.0087296446278881,0.118606335200943,-0.113674766641618,-0.0276177760713028,0.0539057320635949,0.136526572448449,-0.089808142961359,0.00057712252386481,0.0797968610844598,"CMS1",NA
"GSM972056_SOG_702_U133_2.CEL.gz",0.318516431133598,-0.228802168079875,-0.0418458618591064,-0.220924578937986,0.345736079562026,-0.183463564704834,0.00461060266540827,-0.143982267167343,0.417207338483941,-0.104514402027519,0.0599643953141924,-0.0862334361730379,"CMS1","CMS1"
"GSM972057_SOG_703_U133_2.CEL.gz",-0.150566816369389,0.270453889195008,-0.209525901188977,-0.203627887603581,-0.128004051134258,0.324421145191113,-0.181853925381451,-0.179462438338126,-0.0843338721801102,0.348247550919234,-0.139726475804879,-0.100067857874005,"CMS2","CMS2"
"GSM972058_SOG_704_U133_2.CEL.gz",0.433678456947635,-0.39228061434877,-0.134948950946597,-0.0399462987950191,0.463458179369616,-0.366546701479368,-0.0093182565759631,0.00464115757191144,0.506670667518549,-0.311725374063924,0.00492540867859299,0.0966479518005261,"CMS1","CMS1"
"GSM972059_SOG_705_U133_2.CEL.gz",0.323839133415451,-0.37013719259211,-0.31683743006755,0.21721797562837,0.355249962046034,-0.331395177066756,-0.286128463582865,0.26170657599179,0.390379629666266,-0.326349347285621,-0.230814701790768,0.335333684296636,"CMS1","CMS1"
"GSM972060_SOG_706_U133_2.CEL.gz",-0.103024062580605,0.111644421388316,-0.303356048003658,0.0413537468682866,-0.0709166051409857,0.163469587315596,-0.271081900916557,0.058085076328303,-0.037126815398566,0.178960325241751,-0.258638469369944,0.0867832989317732,"CMS2","CMS2"
"GSM972061_SOG_707_U133_2.CEL.gz",-0.212770415765038,0.20861277026507,-0.203545972986334,-0.0456129600073879,-0.172258725310207,0.228992172458698,-0.191375369631565,-0.016398095394231,-0.133973790261957,0.274329259663858,-0.159816685637522,0.0458238532795218,"CMS2","CMS2"
"GSM972062_SOG_708_U133_2.CEL.gz",-0.0851814628096514,0.0761982379643019,-0.0162532764030593,-0.118078288367998,-0.0670190022000604,0.0844678561568686,0.0373571162453975,-0.085500839453231,-0.0172551850911463,0.094471226763617,0.0683239670960684,-0.03526835929945,"CMS2",NA
